token;freq
kys;2198
ʀut;3304
kɔ̃fʀɔ̃;503
vaɡ;841
lɑ̃səs;459
epy;175
ɡi;436
nistʀ;6908
ek;42
kam;25
ʀœʀ;6394
fɑmə;3519
fɛʀnan;130
vwajɛ̃;834
tʀə̂m;1594
kʀea;6667
fas;1337
fʀəs;174
paɲ;7097
mit;4152
adɔlf;740
əiʃ;37
eɡliz;7150
vjɛl;105
sipl;534
moʀ;734
ʀas;5195
və̂k;1282
njo;1845
kaɡ;13
ʒja;859
zin;1694
bil;2777
vism;261
vjɔlɑ̃;214
ljɑ̃sə;1475
kɔ̃sɑ̃;2108
sjɔ́n;271
ʒim;2957
fal;1701
pɑ̃t;1691
dʀɔ̃;566
ota;2
tɑ̃sə;7559
tʀɑ̃;4605
kʀə̀t;827
pɛ̃;5031
das;932
tʀjœ̃;70
bjɔ̃;43
pʀə̂m;817
neɑ̃;2823
kla;7245
zjəs;60
nɛldin;2
pɑ̃ts;595
pytsʃ;118
kɔ̃dɑ̃;2055
p;2940
plo;5267
kɛn;10447
dɛz;1837
iʀa;1171
aʀm;2334
bʀi;15119
lɑ̃də;3487
fɛʀɑ̃;401
ɔ́ɡlɛɡ;1
ei;14
ʀəɑn;12
ɔl;3278
velist;223
dɛs;4874
iʀis;49
lœ̃;1129
təɛʀ;33
iʀb;7
ɡɥɛʀʀ;14888
fɔʀs;5089
ije;572
ʀai;3151
avʀi;6175
fys;1079
vil;7927
lɑ̃dəs;293
kɔ̃sɑ̃tʀ;298
lɔf;176
sɛn;171
feɛ̃;27
fø;1324
swaʀ;1391
ɡʀaz;4076
dat;4751
nɛʀɑ̃;299
ʀəal;197
nɥi;2560
dʀə;1226
nea;485
tʀiʃ;2102
lɔ̃ɡ;7458
ʀɔp;6496
tʀal;4868
ɲœ;234
ɡjl;328
maɲ;4175
tʃe;775
ɡʀi;2426
ita;12939
sɥis;3993
ljɛʃ;178
stɛ̃;2102
wɛs;7363
vij;20995
vja;2597
vjə̀ʀ;2302
pʀɔpʀ;3363
tɛʀʀ;9931
naʀ;6269
buʀɡ;4827
ʃyt;1381
sɑ̃səs;2697
djal;6905
pʀys;1147
fɔ̃dʀ;206
nəɡze;276
tɔ̃b;1401
adɔpt;571
nø;2886
zɔn;5241
ʃaʀt;609
ʒjo;5301
ɡʀwa;1210
və̀n;252
kʀɔat;505
lɑ̃d;3548
tʃə̀k;757
vak;901
ekʀit;1025
ʀœ̃;1342
vjɛj;170
ʀwajom;7196
valɑ̃;1045
dɔs;67
kʀé;4538
alp;1227
kypɑ̃;653
kylmi;405
ɡʀɔs;374
kk;778
flœv;1797
nyb;245
kʀɔa;313
byl;2539
mɔl;1329
ykʀɛn;670
fʀa;3045
ʃjɛn;494
tɥa;4840
sɑ̃tʀə;6454
ljə;1611
vjɛʀ;9507
vwaj;2145
tœ̃;1044
aɡz;1122
byɑ̃;662
pɔst;1969
tɛk;6608
pin;906
pɔ;439
mjɔ̃;291
dɥit;1817
val;10968
ɛn;630
vəo;2897
ʃjɛ̃;2002
pʀjo;721
taɡz;921
ɲɛt;93
ɔbli;1652
nɥɛl;1094
pəʀ;436
vɑ̃sə;1238
maɡzi;1868
km;439
ɔ;602
ʀəi;615
ʃisʃ;4
bœ̃;2394
län;39
pʀœ̃;804
luʀ;779
mɑ̃ds;1642
mɑ̃də;5515
nɔl;1947
lɔb;297
mɔd;2374
dʀɛ;641
ʃof;757
fœʀ;266
mjœ;1268
poz;152
ɡlə;3977
ban;156
kyn;2539
bʀe;4384
bʀykk;68
fyʀ;578
sal;5089
tabl;5353
wə;1754
tʀuvɑ̃;1408
ɡmœ̃;2
sɛdɑ̃;1098
laʒ;2949
ʀɛ̃;11629
mɔ̃d;10634
kli;5424
fɛkt;167
sʃɛʀ;661
saʃ;104
sbə;5
ʀiʃ;2596
kuvʀɑ̃;442
tɑ̃dʀə;934
mɛstʀ;359
nəi;565
ɡla;1322
lym;1802
ɔt;145
ɡ̈;230
ɡlis;399
bu;9022
ebu;31
mɑ̃tɑ̃t;278
ɲœz;219
djəs;1425
ʀism;2866
biʀ;1362
kɔ̃sɔ̃;2292
nə̀t;2021
pabl;1481
njal;1501
fon;561
flɔʀ;541
kɔ̃sjɛnɑ̃;662
sɑ̃bʀə;6485
zps;58
zsk;60
psik;45
pə̀s;3990
ʀɛstʀ;1521
sɛlt;261
kyltyʀ;6323
stat;426
ʒjœ̃;36
dɔlf;463
dubl;1937
fɔn;3075
sɛɑ̃;46
aʃə̀v;355
ʀə̀ɲ;2417
tuʀn;809
aɡʀɑ̃;417
bjɛn;518
zism;203
sjə̀m;3882
ʀəiʃ;459
sʃlys;35
ʀjɛn;2961
sɑ̃ɡ;1182
kɔnai;1675
stʀikt;234
ʒjɛ̃;2945
təiɲɑ̃;260
ʀɔɡzism;46
avə̀;335
epi;3982
kʀaʃ;85
vɛn;810
vø;299
ləi;592
ble;5356
diʒ;314
ɡʀav;1015
ljɔʀ;152
pləin;593
fʀwad;669
vje;3784
dʀəs;444
ade;1523
kɔ̃səj;5859
ɔv;109
spɔ;27
fpɔ;10
ɡʀÿ;15
kləs;14
kœʀ;3308
aləksɑ̃;1251
skʀy;956
kɔ̃fiʀm;443
nœtʀ;481
ɔtɑ̃;695
staa;21
tʀaɡ;6
ʒɔɛ̃;1741
sʃil;152
tɔʀz;349
mɑ̃bʀəs;3688
sɛsɑ̃;108
bas;13331
otɑ̃;8
ʀjal;3641
eʃ;274
myn;8143
dɛslän;3
nœf;1470
sɑ̃kt;15
tad;139
ʀaʀl;7
maʒ;2445
pib;1156
aʃa;421
dɔl;2592
aɡʀi;4581
pwa;4435
diz;1755
lɔz;237
bij;723
ɡɑmə;387
pjɛʀ;1467
pat;795
abɔ̃;899
dɑ̃təs;916
bʀikɑ̃;44
pyz;245
vʀe;604
aɡʀɔa;188
faʀ;2007
